ORG_ID,ORG_NAME,COUNTRY,HEADQUARTERS,LATITUDE,LONGITUDE,GEONAME_COUNTRY_ID,GEONAME_COUNTRY_NAME,SALES_REGION,CITY
e3c8dd43-29f9-401c-a943-cb606ded1b23,Stark,US,FALSE,41.948055,-87.655754,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),Chicago
636f8981-abcb-4bdf-9790-56e15b15c757,Grayson Music,US,FALSE,40.748295,-73.98556,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),New York
cc66fad4-145d-4759-a594-7db4032ef7fe,Garage51,ES,TRUE,41.38835,2.167125,717f0d16-de52-4d2b-a4aa-b80e9fd22dc8,Kingdom of Spain,Europe - Middle East - Africa (EMEA),Barcelona
b9ecb762-5aae-46c3-925c-05996a5daa56,AnalogFolk,NL,FALSE,51.89373,4.523071,eb12cf52-ddf3-48a2-86a4-9834d53067b2,Kingdom of the Netherlands,Europe - Middle East - Africa (EMEA),Amsterdam
801b1900-df4a-4643-ace8-c2137649bec0,Screen Entertainers,IN,TRUE,19.146397,72.87369,b207b69a-47bd-4fb5-8f9c-fd9e881932f2,Republic of India,Asia-Pacific (APAC),Mumbai
0aabaa44-862b-4e1e-b13f-4f6f2959e96c,Broadway Video,US,TRUE,39.50357,-99.01834,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),
742d3315-3581-4f55-bb27-7974418cab9d,Devsisters,KR,TRUE,37.567238,126.98681,72d70070-088b-48ef-b652-10bcb9e8d645,Republic of Korea,Asia-Pacific (APAC),Seoul
652ec907-f64f-4324-8ff3-42b7cc15564b,"Replacement Productions, Inc.",GB,TRUE,51.51649,-0.128427,f711c42f-220d-4a41-8dd5-77ed6c4e125b,United Kingdom of Great Britain and Northern Ireland,Europe - Middle East - Africa (EMEA),London
0d034d8b-3a33-4b17-abf4-efbb1ce8a8c8,Keywords Studios Plc,PH,FALSE,14.519008,121.01118,dad0ef38-3974-4d3d-83b7-d278d16aea19,Republic of the Philippines,Asia-Pacific (APAC),
0d034d8b-3a33-4b17-abf4-efbb1ce8a8c8,Keywords Studios Plc,US,FALSE,41.948055,-87.655754,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),
b28aef6c-2493-477e-a1af-0247a7f5fc5e,Eagle Dynamics,CH,TRUE,46.54528,6.61667,a59fe06b-a63f-404e-a2b1-4d95c8a65ecb,Switzerland,Europe - Middle East - Africa (EMEA),Lausanne
e184760b-f1fc-484c-ae6d-f2e876d17752,Microsoft Corporation,US,TRUE,47.591396,-122.33279,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),Redmond
df24c435-8ee9-4d8b-ba33-00e7565c47c3,BÜRO,NL,FALSE,51.89373,4.523071,eb12cf52-ddf3-48a2-86a4-9834d53067b2,Kingdom of the Netherlands,Europe - Middle East - Africa (EMEA),Rotterdam
b71ea3ac-7dc4-49dc-b4c0-7df667f85ae1,Bioscope Films,ZA,TRUE,-25.93775,27.92642,3bf70267-c5e3-4fec-a0cc-3e1c4edd34e0,South Africa,Europe - Middle East - Africa (EMEA),
13d62620-b1f0-4bcc-af78-0a604292202c,Awards subs,US,TRUE,40.748295,-73.98556,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),
5c6c72ec-af41-446f-beb8-bb7fd1011581,Origine Films,FR,TRUE,45.758404,4.812117,28aadb12-b362-40f4-b068-c3818bbe4bf8,Republic of France,Europe - Middle East - Africa (EMEA),Lyon
caf4729d-c5e7-4cb5-92e9-957042a0e97e,The United States Playing Card Company,US,TRUE,39.097866,-84.508,83dfa402-74b0-4aae-ab5a-4e778eb7d3ce,United States,North America (NA),
82f07945-bd1c-4eaa-b028-ac1c5cbe3146,Casual Films Limited,GB,TRUE,51.51649,-0.128427,f711c42f-220d-4a41-8dd5-77ed6c4e125b,United Kingdom of Great Britain and Northern Ireland,Europe - Middle East - Africa (EMEA),London
0d034d8b-3a33-4b17-abf4-efbb1ce8a8c8,Keywords Studios Plc,IT,FALSE,45.46816,9.182292,9c0997bf-f1d7-4159-a476-838f6a044419,Italian Republic,Europe - Middle East - Africa (EMEA),
ecc42764-aeb1-4eae-9d5e-295eb8988985,Augenschein Filmproduktion,DE,TRUE,50.873333,7.126651,4db279f2-e085-49f9-b5f4-2d901ef225fe,Federal Republic of Germany,Europe - Middle East - Africa (EMEA),Koln
f63afe00-f40f-44a5-b8e3-b7627107761e,Lockwood Publishing Limited,GB,TRUE,52.93997,-1.132648,f711c42f-220d-4a41-8dd5-77ed6c4e125b,United Kingdom of Great Britain and Northern Ireland,Europe - Middle East - Africa (EMEA),Nottingham
3cf5d6e2-b479-4816-b96c-1fff0c654baf,EFAP,FR,FALSE,43.85799,2.6125708,28aadb12-b362-40f4-b068-c3818bbe4bf8,Republic of France,Europe - Middle East - Africa (EMEA),Bordeaux
85a349b4-327a-4003-9bdd-05769205cda3,Ubisoft Mainz,FR,FALSE,48.858303,2.436905,28aadb12-b362-40f4-b068-c3818bbe4bf8,Republic of France,Europe - Middle East - Africa (EMEA),Montreuil
